Adjacency Matrix
,AEHC,AAFIA,LB_MB_Octo_Passive_Antenna,L700,LAWS3,L600,G19,N600,U19,L19,N21,N19,AHLOA,AHFIG,Fiber_Jumpers,HCS1_0_top_1,HCS1_0_top_2,HCS1_0_top_3,HCS2_0_Rooftop,HCS1_0_bottom_1,HCS1_0_bottom_2,HCS1_0_bottom_3,5G_Airscale,LTE_TDD_Airscale2,FSMF_GSM_UMTS_PCS,LTE_FDD_Airscale1
AEHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AAFIA,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
LB_MB_Octo_Passive_Antenna,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
L700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAWS3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHLOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AHFIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fiber_Jumpers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
HCS1_0_top_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HCS1_0_top_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HCS1_0_top_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HCS2_0_Rooftop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HCS1_0_bottom_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCS1_0_bottom_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HCS1_0_bottom_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5G_Airscale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTE_TDD_Airscale2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSMF_GSM_UMTS_PCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTE_FDD_Airscale1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Edge List with Ports
source,target,source_port,target_port
AEHC,Fiber_Jumpers,,
AAFIA,AHLOA,,8
LB_MB_Octo_Passive_Antenna,AHLOA,,7
LB_MB_Octo_Passive_Antenna,AHLOA,,6
LB_MB_Octo_Passive_Antenna,AHLOA,,5
LB_MB_Octo_Passive_Antenna,AHFIG,,4
LB_MB_Octo_Passive_Antenna,AHFIG,,3
LB_MB_Octo_Passive_Antenna,AHFIG,,2
LB_MB_Octo_Passive_Antenna,AHFIG,,1
AHLOA,Fiber_Jumpers,,
AHFIG,Fiber_Jumpers,,
Fiber_Jumpers,HCS1_0_top_1,,
Fiber_Jumpers,HCS1_0_top_2,,
Fiber_Jumpers,HCS1_0_top_3,,
Fiber_Jumpers,HCS2_0_Rooftop,,
HCS1_0_top_1,HCS1_0_bottom_1,,
HCS1_0_top_2,HCS1_0_bottom_2,,
HCS1_0_top_3,HCS1_0_bottom_3,,
HCS2_0_Rooftop,5G_Airscale,,
HCS2_0_Rooftop,LTE_TDD_Airscale2,,
HCS1_0_bottom_2,FSMF_GSM_UMTS_PCS,,
HCS1_0_bottom_3,LTE_FDD_Airscale1,,
